frag_name,size,price,fill_percent,status
Aventus,100.0,100.0,50.0,
LV,200.0,2025.0,,
Xerjoff Alexandria 3 - 14/15ml -,15.0,3.0,,
PayPal Goods,100.0,558.0,97.0,SOLD
Link](https://imgur.com,100.0,70.0,95.0,
Guerlain](https://imgur.com,50.0,50.0,95.0,
"https://imgur.com/gallery/coromandel-2011-edt-n4okSSy
Rare, vintage juice. Take it for",,2011.0,,
Aventus,,3.0,95.0,
Aqua-3.4oz-50%-$35,30.0,75.0,50.0,
PayPal G&S,50.0,2025.0,,
Frederic Malle Geranium Pour Monsieur,100.0,3.0,,AVAILABLE
SDV,100.0,2.0,,SOLD
Byredo Alto Astral 50ml full Pres-,50.0,50.0,,
https://imgur.com/a/LGfMm59,50.0,59.0,75.0,LISTED
Sprayed,,5.0,,SOLD
Blue Seduction,100.0,2025.0,,
"New YSL Myslf L’Absolu, 60ml, full presentation, missing test spray,",60.0,60.0,,
PayPal,50.0,50.0,,SOLD
Light Blue Eau Intense,100.0,100.0,,SOLD
EDP,125.0,1.0,,
Creed Viking,100.0,5.0,85.0,
"https://imgur.com/a/ddRlhDl

40/50ml Matsukita no pres:",50.0,40.0,,PENDING
PayPal G&S + Venmo,30.0,1.0,3.0,SOLD
Pur Oud,100.0,1.0,97.0,
"Boss Bottled, Boss Infinite",,5.0,99.0,
"SOLD*** Selling Valentino Coral Fantasy 100ml
I’d say it’s between 90-",100.0,100.0,95.0,SOLD
Absolu,100.0,1.0,,
Minerale,75.0,75.0,,
Pyrex,250.0,1.0,,
CAD,50.0,250.0,95.0,
BR540,,33.0,98.0,
PayPal,,105.0,,
Pictures](https://imgur.com,105.0,7.0,75.0,
Insured,,280.0,99.0,
Valentino Green,100.0,100.0,,
Paypal F&F,75.0,78.0,,
TX,,110.0,,
Oceania EDP,100.0,140.0,,SOLD
Vibrato,100.0,100.0,95.0,
Eden-Roc,5.0,7.5,,
"~~Selling 100 ml of Loumari Porthole. Full presentation.~~ SOLD

*",100.0,100.0,,SOLD
50ml -,50.0,50.0,,
https://imgur.com/a/O7qjCb4](https://imgur.com/a/O7qjCb4,100.0,10.0,,SOLD
Royal Tobacco,100.0,7.0,,
de Parfum,30.0,30.0,99.0,
CashApp & Venmo,100.0,0.0,7.0,SOLD
Mercedes Benz Cologne,,90.0,98.0,
"https://imgur.com/a/FvYJhKf
Looking for any trades and willing to sell for 400",,400.0,,
70,,70.0,,
"https://imgur.com/a/zyvRf85       

~~Versace Dylan Blue 100ml",100.0,85.0,98.0,
Like title says. See pictures for levels. Both 100ml bottles.,100.0,100.0,,
