brand,frag_name,size,price,fill_percent,status
,Queening 100ml see level -$190,100.0,190.0,,
,Wulong Cha,50.0,,,
,Umbrella,50.0,,,
,INITO,90.0,,,
,https://imgur.com/gallery/lv-pacific-chill-200ml-bottle-ShSPzMc,0.2,,,
Xerjoff,Alexandria 3 - 14/15ml - $55,1415.0,,,
Xerjoff,Monkey Special 49/50ml - $125,4950.0,,,
Creed,~~SOLD  Aventus F000558 100ml - $180~~,100.0,,,SOLD
Chanel,Bleu de  EDP,150.0,,,SOLD
Tom Ford,Oud Wood 100ml 98%- $160 Shipped,100.0,,98.0,
,* Pana Dora Aqua de Dora 100ml,100.0,,,
,Atheer Cambodia 50ml BNIB,50.0,,,
,* Lorenzo Pazzaglia Summer Hammer 50ml,50.0,,,
,* Dua Mango Flesh (Mango Skin) 34ml,34.0,,,
,* Thameen Carved Oud 50ml,50.0,,,
,Lune Feline,100.0,,,
,* Anthony Marmin Sheikh Al Faransi Attar oil 2.9/3ml,2.93,,,
,* Al Haramain Attar Al Kaaba 25ml oil,25.0,,,
,* Ahmed Al Maghribi Black Fume 100ml,100.0,,,
,Layton,60.0,,,
,Aventus,100.0,,,
,* Givenchy Dahlia Divin EDP Discontinued bottle 75ml,75.0,,,
,* Maison Alhambra Infini Rose (Atomic Rose) 100ml,100.0,,,
,* Lattafa Tharwah Silver 100ml (Ralph Club Parfum),100.0,,,
,* French Avenue Pinnace Black 100ml (Boss Bottled Intense),100.0,,,
,Fire (Patchouli Intense,100.0,,,
Tom Ford,-Tobacco Vanille w/box-30 ml-90-$100,90100.0,,,
Tom Ford,Dua-Where sun never sets- soleil blanc-34 ml-99%-$35,9935.0,,9935.0,
,* **Terre d’Hermès EDT** – 50ml bottle,50.0,,,
,* **Mancera Cedrat Boise** – 120ml bottle,120.0,,,
,EDP,200.0,,,
,\~35ml decanted into a travel sprayer.,35.0,,,
,Frederic Malle Geranium Pour Monsieur,100.0,,,AVAILABLE
,Jazeel The Palace,100.0,,,
Xerjoff,**3-  Torino 21** 50ml. Bottle only. [**PICs**](https://imgur.com/a/1kfS7KN) $125,50.0,,,
,**5- Carven L'Eau Intense** 100ml. No box. Sprayed a few times. [**PIC**](https://imgur.com/VqsIy9Z) $40,100.0,,,
,**6- Montale Aoud Lime** 100ml. Sealed. This bottle is from 2014. [**PIC**](https://imgur.com/DPX1SNd) $60,100.0,,,
