author,flair,brand,frag_name,size,price,fill_percent,status
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,Queening,100.0,190.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,Lionara (engraved),,170.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Maison Francis Kurkdjian,Amyris Extrait,,240.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Maison Francis Kurkdjian,A la Rose,,150.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,Beach Walk,,65.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,Nitro Noir,,40.0,50.0,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,Wulong Cha,50.0,95.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Creed,Aventus (sought batch),,180.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Creed,Aventus for Her,,90.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,Matcha 26,,160.0,,LISTED
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,One Umbrella for Two,50.0,180.0,,AVAILABLE
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Dior,Sauvage Parfum,,105.0,,AVAILABLE
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Dior,Sauvage Parfum,,105.0,,AVAILABLE
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Amouage,Contralto (test sprays missing),,145.0,,AVAILABLE
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,Acento,,90.0,,AVAILABLE
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Initio,INITO 90ML testers,90.0,,,AVAILABLE
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Initio,Oud For Greatness Neo,,145.0,,AVAILABLE
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,Initio,High Frequency,,135.0,,AVAILABLE
Calm-Durian-6553,Legacy:0/Buys:1/Sales:22,,Narcotic Delight,,160.0,,AVAILABLE
Boring_Elevator3817,Legacy:0/Buys:1/Sales:0,Louis Vuitton,,,400.0,95.0,LISTED
leewulonghike16,Legacy:0/Buys:5/Sales:6,Xerjoff,Alexandria 3,15.0,55.0,93.33,LISTED
leewulonghike16,Legacy:0/Buys:5/Sales:6,Xerjoff,Monkey Special,50.0,125.0,98.0,LISTED
Baykes408,Legacy:0/Buys:0/Sales:2,Creed,Aventus F000558,100.0,180.0,,SOLD
Baykes408,Legacy:0/Buys:0/Sales:2,Chanel,Bleu de Chanel EDP,150.0,135.0,97.0,SOLD
Baykes408,Legacy:0/Buys:0/Sales:2,Tom Ford,Oud Wood,100.0,160.0,98.0,AVAILABLE
Yessahblessah37,Legacy:0/Buys:1/Sales:27,,,,760.0,,LISTED
Hot-Response-6452,Legacy:0/Buys:15/Sales:15,Creed,Aventus,89.0,185.0,95.0,LISTED
Hot-Response-6452,Legacy:0/Buys:15/Sales:15,Creed,Aventus Cologne,50.0,105.0,,LISTED
parfumpapi,nan,,Invictus Aqua,100.0,35.0,50.0,AVAILABLE
parfumpapi,nan,Salvatore Ferragamo,Subtil,100.0,20.0,40.0,AVAILABLE
parfumpapi,nan,,Pasha Noire,100.0,40.0,75.0,AVAILABLE
parfumpapi,nan,Givenchy,Gentleman EDP,100.0,50.0,99.0,AVAILABLE
parfumpapi,nan,Burberry,Weekend,100.0,20.0,60.0,AVAILABLE
parfumpapi,nan,Bvlgari,Man Wood Essence,100.0,35.0,85.0,AVAILABLE
parfumpapi,nan,Chanel,Bleu de Chanel EDP,100.0,55.0,40.0,AVAILABLE
parfumpapi,nan,Armani,Stronger with you,100.0,35.0,90.0,AVAILABLE
parfumpapi,nan,Afnan,9am Dive,100.0,20.0,95.0,AVAILABLE
parfumpapi,nan,Armani,Code Profumo,60.0,80.0,90.0,AVAILABLE
parfumpapi,nan,Tom Ford,Noir Extreme,100.0,100.0,98.0,AVAILABLE
parfumpapi,nan,Tom Ford,Tobacco Vanille,30.0,100.0,90.0,AVAILABLE
parfumpapi,nan,Dior,Sauvage EDT,60.0,35.0,50.0,AVAILABLE
parfumpapi,nan,Zara,Spell caramel,100.0,25.0,97.0,AVAILABLE
